826,並,8,row,hei,nami / nara-bu
827,乱,7,chaos,ran,mida-reru
828,乳,8,milk,nyū,chichi
829,亡,3,deceased,bō,na-kunaru
830,仁,4,kindness,jin,
831,供,8,offer,kyō / ku,tomo
832,俳,10,actor,hai,
833,値,10,value,chi,atai
834,傷,13,wound,shō,kizu
835,優,17,superior,yū,yasa-shii
836,党,10,political party,tō,
837,冊,5,counter for books,satsu,
838,処,5,dispose,sho,
839,刻,8,engrave,koku,kiza-mu
840,割,12,divide,katsu,wa-ru
841,創,12,create,sō,tsuku-ru
842,劇,15,drama,geki,
843,勤,12,diligence,kin,tsuto-meru
844,危,6,dangerous,ki,aya-ui
845,卵,7,egg,ran,tamago
846,厳,17,strict,gen,kibi-shii
847,収,4,obtain,shū,osa-meru
848,后,6,queen,kō / gō,kisaki
849,否,7,negate,hi,ina / iya
850,吸,6,suck,kyū,su-u
851,呼,8,call,ko,yo-bu
852,善,12,virtue,zen,yo-i
853,困,7,quandary,kon,koma-ru
854,垂,8,droop,sui,ta-reru
855,城,9,castle,jō,shiro
856,域,11,range,iki,
857,奏,9,play music,sō,kana-deru
858,奮,16,stirred up,fun,furu-u
859,姿,9,shape,shi,sugata
860,存,6,suppose,son,
861,孝,7,filial piety,kō,
862,宅,6,home,taku,ie
863,宇,6,eaves,u,
864,宗,8,religion,shū,sō
865,宙,8,mid-air,chū,
866,宝,8,treasure,hō,takara
867,宣,9,proclaim,sen,notama-u
868,密,11,secrecy,mitsu,
869,寸,3,measurement,sun,
870,専,9,specialty,sen,moppa-ra
871,射,10,shoot,sha,i-ru
872,将,10,leader,shō,
873,尊,12,revered,son,touto-bu
874,就,12,concerning,shū,tsu-ku
875,尺,4,measure of length,shaku,
876,届,8,deliver,kai,todo-ku
877,展,10,expand,ten,
878,層,14,stratum,sō,
879,己,3,self,ko,onore
880,巻,9,scroll,kan,maki
881,幕,13,curtain,maku / baku,
882,干,3,dry,kan,ho-su
883,幼,5,infancy,yō,osana-i
884,庁,5,government office,chō,
885,座,10,sit,za,suwa-ru
886,延,8,prolong,en,no-basu
887,律,9,rhythm,ritsu,
888,従,10,obey,jū,shitaga-u
889,忘,7,forget,bō,wasu-reru
890,忠,8,loyalty,chū,
